Year;Country;U_Emp;UL_Cost;Wage;Cor_Tax
2010;Spain;19.875;105.6;41034.0;30.0
2011;Spain;21.408;103.8;40453.0;30.0
2012;Spain;24.792;101.2;39302.0;30.0
2013;Spain;26.117;100.3;39391.0;30.0
2014;Spain;24.450;100.0;39398.0;30.0
2015;Spain;22.075;100.0;40088.0;28.0
2016;Spain;19.650;99.1;39860.0;25.0
2017;Spain;17.233;99.5;39073.0;25.0
2018;Spain;15.267;100.7;38761.0;25.0
2019;Spain;14.117;103.0;;
2010;Switzerland;4.803;97.5;62003.0;21.2
2011;Switzerland;4.401;99.3;62108.0;21.2
2012;Switzerland;4.484;100.6;63207.0;21.2
2013;Switzerland;4.747;101.2;64181.0;21.1
2014;Switzerland;4.829;100.1;64285.0;21.1
2015;Switzerland;4.800;100.0;64223.0;21.1
2016;Switzerland;4.919;99.3;64064.0;21.1
2017;Switzerland;4.797;98.8;63900.0;21.1
2018;Switzerland;4.714;98.1;64109.0;21.1
2019;Switzerland;4.394;98.8;;
2010;United Kingdom;7.808;95.3;45527.0;28.0
2011;United Kingdom;8.058;96.0;44376.0;26.0
2012;United Kingdom;7.925;96.9;44007.0;24.0
2013;United Kingdom;7.550;99.0;44141.0;23.0
2014;United Kingdom;6.142;99.9;43782.0;21.0
2015;United Kingdom;5.325;100.0;44126.0;20.0
2016;United Kingdom;4.825;102.7;44466.0;20.0
2017;United Kingdom;4.350;105.0;44590.0;19.0
2018;United Kingdom;4.017;107.8;44770.0;19.0
2019;United Kingdom;3.767;111.6;;
